key,cn,comment
zel_00/30,无法保存。插槽A中的\n存储卡无法使用。请把\n其他存储卡插入插槽A。<T000036:001e>,
zel_00/31,无法保存。插槽A中插入的\n不是存储卡。请插入\n存储卡。<T000036:001e>,
zel_00/32,无法保存。插槽A中的\n存储卡与本游戏不兼容。\n请把兼容的存储卡\n插入插槽A。<T000036:001e>,
zel_00/33,无法保存。插槽A中\n找不到存储卡。请确认\n插槽A中是否已插入\n存储卡。<T000036:001e>,
zel_00/34,无法保存。插槽A中\n存储卡的数据已损坏，\n必须进行格式化。\n要格式化吗？<T000036:001e>,
zel_00/35,是,
zel_00/36,否,
zel_00/37,无法保存。插槽A中\n找不到存储卡。请确认\n是否已插入存储卡。<T000036:001e>,
zel_00/38,无法保存。插槽A中存储卡上\n的可用空间不足，或已超出\n文件数量上限。保存本游戏\n需要1个文件和\n12个存储块。<T000036:001e>,
zel_00/39,请插入有足够空间的\n存储卡，或在存储卡画面\n整理数据。<T000036:001e>,
zel_00/40,格式化时可能\n发生了错误。<T000036:001e>,
zel_00/41,格式化完成。<T000036:001e>,
zel_00/42,正在格式化。\n\n<Tff0000:01>请勿触碰存储卡\n或电源按钮。<T000036:001e>,
zel_00/43,格式化后，存储卡上的\n所有数据将被清除。\n确定吗？<T000036:001e>,
zel_00/44,是,
zel_00/45,否,
zel_00/46,无法保存。插槽A中的\n存储卡无法保存本游戏。\n请把兼容的存储卡\n插入插槽A。<T000036:001e>,
zel_00/47,游戏进度将不会保存。\n确定吗？<T000036:001e>,
zel_00/48,是,
zel_00/49,否,
zel_00/50,要打开游戏机菜单中的存储卡画面吗？\n（也可在关机后重新开机，\n开机时按住A键，\n同样能打开存储卡\n画面。）<T000036:001e>,
zel_00/51,插槽A的存储卡上没有\n《塞尔达传说：黄昏公主》\n的存档文件。保存本游戏\n需要1个文件和12个存储块。\n要在插槽A的存储卡上\n创建存档文件吗？<T000036:001e>,
zel_00/52,是,
zel_00/53,否,
zel_00/54,无法保存。插槽A中的\n存储卡上没有可以保存\n本游戏的文件。<T000036:001e>,
zel_00/55,正在创建文件。\n\n<Tff0000:01>请勿触碰插槽A中的\n存储卡或电源按钮。<T000036:001e>,
zel_00/56,创建文件时可能\n发生了错误。<T000036:001e>,
zel_00/57,文件已创建。<T000036:001e>,
zel_00/58,正在保存…,
zel_00/59,无法保存。插槽A中的\n存储卡与之前插入的\n不是同一张。<T000036:001e>,
zel_00/60,保存完成。要\n继续游戏吗？<T000036:001e>,
zel_00/61,是,
zel_00/62,否,
zel_00/63,保存时可能\n发生了错误。<T000036:001e>,
zel_00/64,旅程记录1,
zel_00/65,旅程记录2,
zel_00/66,旅程记录3,
zel_00/67,选择旅程记录,
zel_00/68,复制到哪里？,
zel_00/69,要用此旅程记录覆盖吗？,
zel_00/70,正在复制…,
zel_00/71,已复制。<T000036:001e>,
zel_00/72,复制时可能发生了错误…<T000036:001e>,
zel_00/73,删除此旅程记录？,
zel_00/74,正在删除…,
zel_00/75,已删除。<T000036:001e>,
zel_00/76,删除时可能发生了错误…<T000036:001e>,
zel_00/77,新旅程记录,
zel_00/78,<T000000>,
zel_00/79,<T000000>,
zel_00/80,<T000000>,
zel_00/81,此旅程记录\n已损坏。<T000036:001e>,
zel_00/82,此旅程记录已损坏。\n要删除它的数据吗？<T000036:001e>,
zel_00/83,勿碰插槽A存储卡\n或电源按钮。,
zel_00/84,返回,
zel_00/85,确认,
zel_00/86,复制,
zel_00/87,删除,
zel_00/88,开始,
zel_00/89,道具旅程记录,
zel_00/90,设为<T000010><T000011><T00000f>,
zel_00/91,保存到旅程记录,
zel_00/92,选项,
zel_00/93,信息,
zel_00/94,返回,
zel_00/95,选项,
zel_00/96,保存,
zel_00/97,道具,
zel_00/98,地图,
zel_00/99,更改设定：\n<T000016><T000017><T000014><T000015>在<T000013>上。,
zel_00/100,按开始键,
zel_00/101,,
zel_00/102,<T000001>获得<Tff0000:02>绿色卢比<Tff0000:00>！<T000002><T000036:001e>,
zel_00/103,<T000001>获得<Tff0000:03>蓝色卢比（5）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/104,<T000001>获得<Tff0000:04>黄色卢比（10）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/105,<T000001>获得<Tff0000:01>红色卢比（20）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/106,<T000001>获得<Tff0000:06>紫色卢比（50）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/107,<T000001>获得<Tff0000:08>橙色卢比（100）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/108,<T000001>获得<Tff0000:07>银色卢比（200）<Tff0000:00>！<T000002><T000036:001e>,
zel_00/109,<T000001>借到了<Tff0000:01>炸弹袋<Tff0000:00>！<T000002>\n<T000007:000a>里面装着炸弹。\n\n\n把炸弹与<Tff0000:01>勇者之弓<Tff0000:00>组合\n即可使用<Tff0000:01>炸弹箭<Tff0000:00>。,
zel_00/110,<T000001>获得<Tff0000:01>炸弹袋和炸弹<Tff0000:00>！<T000002>\n<T000007:000a>有了它，就能携带\n各种类型的炸弹。,
zel_00/111,<T030000:000007d3><T000001>获得<Tff0000:01>炸弹（5）<Tff0000:00>！<T000002>\n把它设到<T000007:000a><T000010>或<T00000f>并按\n<T00000a>在奔跑时投掷。,
zel_00/112,<T030000:000007d4><T000001>获得<Tff0000:01>炸弹（10）<Tff0000:00>！<T000002>\n把它设到<T000007:000a><T000010>或<T00000f>并按\n<T00000a>在奔跑时投掷。,
zel_00/113,<T030000:000007d5><T000001>获得<Tff0000:01>炸弹（20）<Tff0000:00>！<T000002>\n把它设到<T000007:000a><T000010>或<T00000f>并按\n<T00000a>在奔跑时投掷。,
zel_00/114,<T030000:000007d6><T000001>获得<Tff0000:01>炸弹（30）<Tff0000:00>！<T000002>\n把它设到<T000007:000a><T000010>或<T00000f>并按\n<T00000a>在奔跑时投掷。,
zel_00/115,<T000001>获得<Tff0000:01>箭（10）<Tff0000:00>！<T000002>\n<T000007:000a>用箭射远处的\n敌人！,
zel_00/116,<T000001>获得<Tff0000:01>箭（20）<Tff0000:00>！<T000002>\n<T000007:000a>用箭射远处的\n敌人！,
zel_00/117,<T000001>获得<Tff0000:01>箭（30）<Tff0000:00>！<T000002>\n<T000007:000a>用箭射远处的\n敌人！,
zel_00/118,,
zel_00/119,<T000001>获得<Tff0000:01>种子（50）<Tff0000:00>！<T000002>\n<T000007:000a>用弹弓发射！,
zel_00/120,,
zel_00/121,,
zel_00/122,,
zel_00/123,<T030000:000007df><T000001>获得<Tff0000:01>水中炸弹（5）<Tff0000:00>！<T000002>\n<T000007:000a>这种炸弹可以在\n水中使用！\n\n把它设到并与\n<T000010>或<T00000f>一起使用。奔跑时按<T00000a>\n投掷。,
zel_00/124,<T030000:000007e0><T000001>获得<Tff0000:01>水中炸弹（10）<Tff0000:00>！<T000002>\n<T000007:000a>这种炸弹可以在\n水中使用！\n\n把它设到并与\n<T000010>或<T00000f>一起使用。奔跑时按<T00000a>\n投掷。,
zel_00/125,<T030000:000007e1><T000001>获得<Tff0000:01>水中炸弹（15）<Tff0000:00>！<T000002>\n<T000007:000a>这种炸弹可以在\n水中使用！\n\n把它设到并与\n<T000010>或<T00000f>一起使用。奔跑时按<T00000a>\n投掷。,
zel_00/126,<T030000:000007e2><T000001>获得<Tff0000:01>水中炸弹（3）<Tff0000:00>！<T000002>\n<T000007:000a>这种炸弹可以在\n水中使用！\n\n把它设到并与\n<T000010>或<T00000f>一起使用。奔跑时按<T00000a>\n投掷。,
zel_00/127,<T030000:000007e3><T000001>获得<Tff0000:01>袖珍炸弹虫（5）<Tff0000:00>！<T000002><T000007:000a>\n设到并与<T000010>或<T00000f>使用。它们会\n向前爬，撞到东西或过一会儿\n就会爆炸。,
zel_00/128,<T030000:000007e4><T000001>获得<Tff0000:01>袖珍炸弹虫（10）<Tff0000:00>！<T000002><T000007:000a>\n设到并与<T000010>或<T00000f>使用。它们会\n向前爬，撞到东西或过一会儿\n就会爆炸。,
zel_00/129,<T030000:000007e5><T000001>获得<Tff0000:01>袖珍炸弹虫（3）<Tff0000:00>！<T000002><T000007:000a>\n设到并与<T000010>或<T00000f>使用。它们会\n向前爬，撞到东西或过一会儿\n就会爆炸。,
zel_00/130,,
zel_00/131,<T030000:000007e7><T000001>把<Tff0000:01>精灵<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>体力耗尽时，它会用\n<Tff0000:01>心<Tff0000:00>来救你。\n\n把它设到并与<T000010>或<T00000f>一起使用，\n就能恢复<Tff0000:01>8颗心<Tff0000:00>。,
zel_00/132,,
zel_00/133,<T000001>获得<Tff0000:01>小钥匙<Tff0000:00>！<T000002>\n<T000007:000a>可以打开上锁的门，\n但仅限此区域。,
zel_00/134,<T000001>获得<Tff0000:01>心之碎片<Tff0000:00>！<T000002>\n<T000007:000a>集齐<Tff0000:01>5片<Tff0000:00>就能组成新的\n心之容器，并提升\n你的生命能量！,
zel_00/135,<T000001>获得<Tff0000:01>心之容器<Tff0000:00>！<T000002>\n<T000007:000a>你的生命能量增加了\n<Tff0000:01>一份<Tff0000:00>，并且已<Tff0000:01>全部\n恢复<Tff0000:00>！,
zel_00/136,<T030000:000007ec><T000001>获得<Tff0000:01>迷宫地图<Tff0000:00>！<T000002>\n<T000007:000a>按开始键查看地图。\n<Tff0000:02>绿色房间<Tff0000:00>是你去过的\n地方。\n<Tff0000:08>黄色箭头<Tff0000:00>显示你\n当前的位置。倾斜<T00001c><T000016><T000017>可\n切换楼层。,
zel_00/137,<T000001>获得<Tff0000:01>罗盘<Tff0000:00>！<T000002>\n<T000007:000a>这个便利的道具会告诉你\n本迷宫中隐藏的\n物品在哪里。\n打开<Tff0000:01>地图画面<Tff0000:00>就能\n找到它们！,
zel_00/138,<T030000:000007ee><T000001>遇见了<Tff0000:01>阿姨<Tff0000:00>！<T000002>\n<T000007:000a>在迷宫里叫她，她就会\n带你出去，并可以随时让你\n<Tff0000:01>返回<Tff0000:00>。\n把她设到并与\n<T000010>或<T00000f>一起使用。,
zel_00/139,<T000001>获得<Tff0000:01>首领房间的钥匙<Tff0000:00>！<T000002>\n<T000007:000a>用它就能进入\n本迷宫首领的巢穴！,
zel_00/140,,
zel_00/141,<T000001>获得<Tff0000:01>陌默之剑<Tff0000:00>！<T000002>\n<T000007:000a>这是陌默最优秀的剑士\n摩伊打造的剑，\n献给王室以表敬意。,
zel_00/142,<T000001>获得<Tff0000:01>大师之剑<Tff0000:00>！<T000002>\n只有真正的勇者才能挥舞\n这把传说之剑！,
zel_00/143,<T030000:000007f3><T000001>获得<Tff0000:01>陌默盾<Tff0000:00>！<T000002>\n<T000007:000a>按<T00000d>防御，\n但它碰到火\n就会烧毁。,
zel_00/144,<T030000:000007f4><T000001>获得<Tff0000:01>木盾<Tff0000:00>！<T000002>\n<T000007:000a>按<T00000d>防御，\n但它碰到火\n就会烧毁！,
zel_00/145,<T030000:000007f5><T000001>获得<Tff0000:01>海利亚盾<Tff0000:00>！<T000002>\n<T000007:000a>按<T00000d>防御。\n它是金属的，绝不会烧毁。,
zel_00/146,,
zel_00/147,,
zel_00/148,,
zel_00/149,<T000001>获得<Tff0000:01>魔法铠甲<Tff0000:00>！<T000002>\n<T000007:000a>你买下了它！真聪明！\n你是在玛罗商店买的！\n\n穿上它，你的<Tff0000:06>卢比<Tff0000:00>会\n变成魔法之力。铠甲会\n保护你，所以受到攻击时\n失去的是<Tff0000:06>卢比<Tff0000:00>，不是体力。\n<Tff0000:06>卢比<Tff0000:00>用光后，铠甲\n就会休眠，你的行动\n也会变得迟缓。,
zel_00/150,<T000001>获得<Tff0000:01>卓拉服<Tff0000:00>！<T000002>\n<T000007:000a>这套铠甲由卓拉王室\n世代相传。\n\n装备它以后，你可以在\n水中自由行动……\n但受到火焰和冰的攻击时\n会更脆弱。,
zel_00/151,,
zel_00/152,<T030000:000007fc><T000001>与<Tff0000:01>阿姨<Tff0000:00>重逢了！<T000002>\n<T000007:000a>这位好心的阿姨能带你\n离开迷宫，并把你\n送回原处。\n把她设到并呼叫\n<T000010>或<T00000f>。,
zel_00/153,,
zel_00/154,<T000001>获得<Tff0000:01>大钱包<Tff0000:00>！<T000002>\n<T000007:000a>现在最多可以持有\n<Tff0000:06>600卢比<Tff0000:00>！,
zel_00/155,<T000001>获得<Tff0000:01>巨大钱包<Tff0000:00>！<T000002>\n<T000007:000a>它是昆虫王国优秀市民\n的象征。\n<T000007:000a>最多可持有<Tff0000:06>1，000卢比<Tff0000:00>！,
zel_00/156,<T000001>获得<Tff0000:01>心之碎片<Tff0000:00>！<T000002>\n<T000007:000a>再集<Tff0000:01>3片<Tff0000:00>就能得到新的\n心之容器。,
zel_00/157,<T000001>获得<Tff0000:01>心之碎片<Tff0000:00>！<T000002>\n<T000007:000a>再集<Tff0000:01>2片<Tff0000:00>就能得到新的\n心之容器。,
zel_00/158,<T000001>获得<Tff0000:01>心之碎片<Tff0000:00>！<T000002>\n<T000007:000a>再集<Tff0000:01>1片<Tff0000:00>就能得到新的\n心之容器。,
zel_00/159,<T000001>获得<Tff0000:01>心之碎片<Tff0000:00>！<T000002>\n<T000007:000a>你集齐了<Tff0000:01>5片<Tff0000:00>，并\n组成了新的心之容器！\n还<Tff0000:01>补满了你的生命能量<Tff0000:00>！,
zel_00/160,,
zel_00/161,,
zel_00/162,<T000001>获得<Tff0000:01>珊瑚耳环<Tff0000:00>！<T000002>\n<T000007:000a>它由卓拉领地的珍贵\n珊瑚做成，形状像鱼钩。\n真漂亮！\n它被装在钓竿上\n当作鱼钩！有了它，\n你就能钓到<Tff0000:01>臭鱼<Tff0000:00>！,
zel_00/163,<T030000:00000807><T000001>获得<Tff0000:01>鹰眼<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>就能放大\n远处的景物。\n\n与<Tff0000:01>勇者之弓<Tff0000:00>组合\n便可更轻松地瞄准远处\n的目标。,
zel_00/164,<T030000:00000808><T000001>获得<Tff0000:01>木刀<Tff0000:00>！<T000002>\n<T000007:000a>摩伊替你打磨好\n还给了你。\n\n用法很简单：按\n<T00000b>即可！,
zel_00/165,<T030000:00000809><T000001>获得<Tff0000:01>疾风飞旋镖<Tff0000:00>！<T000002>\n<T000007:000a>这个神秘的飞旋镖中\n住着风之精灵。它能\n用强风把东西吸过来。\n在<T000012><T000016>画面上把它设到\n<T000010>或<T00000f>。按下按键，\n再按<T00000e>，就能同时锁定\n最多五个目标！,
zel_00/166,<T030000:0000080a><T000001>获得<Tff0000:01>齿轮陀螺<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>就能骑上它\n在空中移动。\n\n骑上后按<T00000a>可以\n增强旋转力！,
zel_00/167,<T030000:0000080b><T000001>获得<Tff0000:01>铁球锁链<Tff0000:00>！<T000002>\n<T000007:000a>这个巨大的铁球\n威力惊人！\n\n把它设到<T000010>或<T00000f>挥动\n就能造成巨大伤害。,
zel_00/168,<T030000:0000080c><T000001>获得<Tff0000:01>勇者之弓<Tff0000:00>！<T000002>\n<T000007:000a>这件鼓隆族的宝物\n据说是过去一位勇者\n留下的。\n把它设到并与<T000010>或<T00000f>一起使用，\n用<T000013>瞄准，松开就能\n射出箭。最多可以携带\n<Tff0000:01>30支箭<Tff0000:00>。,
zel_00/169,<T030000:0000080d><T000001>获得<Tff0000:01>钩爪<Tff0000:00>！<T000002>\n<T000007:000a>这个装置的长链\n末端连着钩爪。\n\n找到钩爪可以钩住\n的地方，你就能跨越\n很远的距离。,
zel_00/170,<T030000:0000080e><T000001>获得<Tff0000:01>铁靴<Tff0000:00>！<T000002>\n<T000007:000a>穿上后会变得\n非常重，连鼓隆族\n也推不动你！\n把它设到<T000010>或<T00000f>并穿上，\n就能沉入水中，\n在水底行走！,
zel_00/171,<T030000:0000080f><T000001>获得<Tff0000:01>操纵杖<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>，瞄准后\n用它把灵魂注入\n雕像之中。\n注入灵魂的雕像会\n像主人一样行动。,
zel_00/172,<T030000:00000810><T000001>又获得了一个<Tff0000:01>钩爪<Tff0000:00>！<T000002>\n\n\n\n<T000007:000a>与已有的钩爪组合后，\n它们被称为\n<Tff0000:01>双钩爪<Tff0000:00>！\n\n把它设到并与<T000010>或<T00000f>一起使用，\n当钩住某处时\n再按一次按键，\n就能钩住另一处。,
zel_00/173,<T030000:00000811><T000001>获得<Tff0000:01>提灯<Tff0000:00>！<T000002>\n<T000007:000a>照亮黑暗的地方\n少不了它。把它设到<T000010>或<T00000f>\n在<T030009>画面上使用。\n油用完后就不能使用，\n所以要随时补充，\n或者携带备用\n的油。,
zel_00/174,<T000001>光充满了<Tff0000:01>大师之剑<Tff0000:00>！<T000002>\n<T000007:000a>在黄昏之地，它的剑刃\n会发出金色的光芒。\n用它就能劈开黑暗之雾！,
zel_00/175,<T030000:00000813><T000001>获得了<Tff0000:01>钓竿<Tff0000:00>！<T000002>\n<T000007:000a>带浮标的简易钓竿。\n把它设到<T000010>或<T00000f>，在\n<T030009>画面上使用。\n钓鱼时面朝水面，\n按下设定的按键\n就能抛竿。,
zel_00/176,<T030000:00000814><T000001>获得<Tff0000:01>弹弓<Tff0000:00>！<T000002>\n<T000007:000a>孩子们超爱这个道具。\n把它设到<T000010>或<T00000f>，在<T030009>\n画面上使用。\n按住设定的按键，\n用<T000013>瞄准后松开\n就能发射！最多可携带\n<Tff0000:01>50颗弹丸<Tff0000:00>。,
zel_00/177,,
zel_00/178,,
zel_00/179,,
zel_00/180,<T000001>获得<Tff0000:01>巨大<Tff0000:00><Tff0000:01>炸弹袋<Tff0000:00>！<T000002>\n<T000007:000a>它能装下普通炸弹袋\n两倍的炸弹！\n\n具体能装的炸弹数量\n取决于炸弹的种类。,
zel_00/181,<T030000:00000819><T000001>获得<Tff0000:01>炸弹袋<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>并按<T00000a>\n设置炸弹。奔跑时按<T00000a>\n就能投掷。\n袋子空了以后，可以装入\n其中一种炸弹！\n能装的炸弹数量\n取决于炸弹类型。,
zel_00/182,<T030000:0000081a><T000001>获得<Tff0000:01>炸弹袋<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>并按<T00000a>\n设置炸弹。奔跑时按<T00000a>\n就能投掷。\n袋子空了以后，可以装入\n各种类型的炸弹！\n能装的炸弹数量\n取决于炸弹类型。,
zel_00/183,,
zel_00/184,,
zel_00/185,,
zel_00/186,<T000001>获得<Tff0000:01>大箭袋<Tff0000:00>！<T000002>\n<T000007:000a>最多可装<Tff0000:01>60支箭<Tff0000:00>！,
zel_00/187,<T000001>获得<Tff0000:01>巨大箭袋<Tff0000:00>！<T000002>\n<T000007:000a>最多可装<Tff0000:01>100支箭<Tff0000:00>！,
zel_00/188,,
zel_00/189,,
zel_00/190,,
zel_00/191,,
zel_00/192,,
zel_00/193,,
zel_00/194,,
zel_00/195,,
zel_00/196,,
zel_00/197,<T030000:00000829><T000001>获得<Tff0000:01>空瓶<Tff0000:00>！<T000002>\n<T000007:000a>把它设到<T000010>或<T00000f>即可使用。\n\n\n可以用它来装水，\n或装任何需要的东西。,
zel_00/198,<T030000:0000082a><T000001>获得<Tff0000:01>红药水<Tff0000:00>！<T000002>\n<T000007:000a>把它设到并与<T000010>或\n<T00000f>一起使用，可恢复<Tff0000:01>8颗心<Tff0000:00>。\n要装在瓶子里。,
zel_00/199,,
zel_00/200,<T030000:0000082c><T000001>获得<Tff0000:03>蓝药水<Tff0000:00>！<T000002>\n<T000007:000a>把它设到并与<T000010>或<T00000f>\n一起使用，可恢复<Tff0000:01>全部的心<Tff0000:00>。\n要装在瓶子里。,
zel_00/201,<T030000:0000082d><T000001>获得<Tff0000:01>牛奶<Tff0000:00>！<T000002> <T000007:000a>把它设到\n并与<T000010>或<T00000f>一起使用，恢复<Tff0000:01>3\n颗心<Tff0000:00>。一个瓶子能装<Tff0000:01>两<Tff0000:00>\n份！,
zel_00/202,<T030000:0000082e><T000001>获得<Tff0000:01>瓶装牛奶<Tff0000:00>！<T000002>\n<T000007:000a>…但这瓶只剩一半！\n把它设到并与<T000010>或\n<T00000f>一起使用，可恢复<Tff0000:01>3颗心<Tff0000:00>！,
zel_00/203,<T030000:0000082f><T000001>把<Tff0000:01>灯油<Tff0000:00>装进了\n瓶子！<T000002> <T000007:000a>它是给提灯\n添加燃料的必备品。\n\n要给提灯加燃料，\n把提灯和灯油分别设到\n<T000010>和<T00000f>。,
zel_00/204,<T030000:00000830><T000001>把<Tff0000:01>水<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>把它设到并与<T000010>或<T00000f>使用。\n可以浇在各种东西上。,
zel_00/205,<T030000:00000831><T000001>把<Tff0000:01>灯油<Tff0000:00>装进了\n瓶子！<T000002> <T000007:000a>它是给提灯\n添加燃料的必备品。\n\n要给提灯加燃料，\n把提灯和灯油分别设到\n<T000010>和<T00000f>。,
zel_00/206,<T030000:00000832><T000001>把<Tff0000:01>红药水<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>把它设到并与<T000010>或<T00000f>使用，\n就能<Tff0000:01>恢复8颗心<Tff0000:00>！,
zel_00/207,<T030000:00000833><T000001>把<Tff0000:01>难喝的汤<Tff0000:00>装进了\n瓶子！<T000002>这是基克尔的「特制」\n配方。\n\n<T000007:000a>把它设到并与<T000010>或<T00000f>使用。\n想知道它的味道，\n只能亲口喝喝看。,
zel_00/208,<T030000:00000834><T000001>把<Tff0000:01>温泉水<Tff0000:00>装进了\n瓶子！<T000002>它富含营养，但要趁\n温热时喝。\n\n<T000007:000a>把它设到并与<T000010>或\n<T00000f>一起饮用，可<Tff0000:01>恢复全部的心<Tff0000:00>！\n变凉后就只是普通<Tff0000:03>水<Tff0000:00>。,
zel_00/209,<T030000:00000835><T000001>把<Tff0000:01>精灵<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>体力耗尽时，它会用\n<Tff0000:01>心<Tff0000:00>来救你。\n\n把它设到并与<T000010>或<T00000f>一起使用，\n就能恢复<Tff0000:01>8颗心<Tff0000:00>。,
zel_00/210,<T030000:00000836><T000001>获得<Tff0000:01>温泉水<Tff0000:00>！<T000002>\n它富含营养，但要\n趁热时喝。\n\n<T000007:000a>把它设到并与<T000010>或<T00000f>使用，\n可<Tff0000:01>恢复你全部的心<Tff0000:00>。\n变凉后就只是\n普通的<Tff0000:03>水<Tff0000:00>。,
zel_00/211,<T030000:00000837><T000001>把<Tff0000:01>油<Tff0000:00>加进了提灯！<T000002>\n<T000007:000a>加满后，你在夜里和\n黑暗的地方都很安全。把它\n设到并与<T000010>或<T00000f>使用。,
zel_00/212,<T030000:00000838><T000001>把<Tff0000:01>油<Tff0000:00>加进了提灯！<T000002>\n<T000007:000a>加满后，你在夜里\n和黑暗的地方都很安全。把它\n设到并与<T000010>或<T00000f>使用。,
zel_00/213,<T030000:00000839><T000001>获得<Tff0000:01>炸弹<Tff0000:00>！<T000002>\n<T000007:000a>把它们设到<T000010>或<T00000f>\n并用<T00000a>放下。奔跑时按<T00000a>\n就能投掷。,
zel_00/214,<T030000:0000083a><T000001>获得<Tff0000:01>水中炸弹<Tff0000:00>！<T000002>\n<T000007:000a>这些炸弹要在水下使用，\n但不能在游泳时用！\n\n把它们设到并与\n<T000010>或<T00000f>一起使用。,
zel_00/215,<T030000:0000083b><T000001>获得<Tff0000:01>袖珍炸弹虫<Tff0000:00>！<T000002>\n<T000007:000a>把它们设到<T000010>或<T00000f>使用，\n它们会沿直线\n向前爬。\n撞到东西或\n过一会儿\n就会爆炸！,
zel_00/216,<T030000:0000083c><T000001>获得<Tff0000:01>大精灵之泪<Tff0000:00>！<T000002>\n<T000007:000a>这神圣的水中蕴含着\n大精灵的祈祷。\n\n<T000007:000a>把它设到<T000010>或<T00000f>饮下，\n就能补充<Tff0000:01>生命能量<Tff0000:00>…还能\n暂时提升<Tff0000:01>攻击力<Tff0000:00>！,
zel_00/217,<T030000:0000083d><T000001>把<Tff0000:01>蚯蚓<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>拿着钓竿，把它设到\n<T000010>或<T00000f>就能当鱼饵。,
zel_00/218,<T030000:0000083c><T000001>获得<Tff0000:01>大精灵之泪<Tff0000:00>！<T000002>\n<T000007:000a>这个<Tff0000:01>瓶子<Tff0000:00>装着<Tff0000:01> <Tff0000:00>蕴含大精灵\n祈祷的\n神圣之水。\n<T000007:000a>把它设到<T000010>或<T00000f>饮下，\n就能补充<Tff0000:01>生命能量<Tff0000:00>…还能\n暂时提升<Tff0000:01>攻击力<Tff0000:00>！,
zel_00/219,<T030000:0000083f><T000001>把<Tff0000:01>蜂蛹<Tff0000:00>装进了瓶子！<T000002>\n<T000007:000a>把它设到与钓竿相同的按键\n（<T000010>或<T00000f>）就能当鱼饵\n使用。\n不在钓竿上时使用它，\n每只蜂蛹能恢复\n<Tff0000:01>1/4颗心<Tff0000:00>。,
zel_00/220,<T030000:00000840><T000001>把<Tff0000:08>珍贵丘丘胶<Tff0000:00>装进了\n瓶子！<T000002>\n\n\n<T000007:000a>把它设到<T000010>或<T00000f>饮下，\n就能<Tff0000:01>补充生命能量<Tff0000:00>…还能\n暂时提升<Tff0000:01>攻击力<Tff0000:00>！,
zel_00/221,<T030000:00000841><T000001>把<Tff0000:01>红色丘丘胶<Tff0000:00>装进了\n瓶子！<T000002> <T000007:000a>把它设到<T000010>或<T00000f>并\n饮下，可<Tff0000:01>恢复8颗心<Tff0000:00>。,
